Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763470578.1727934,-2,0,0,-2,0,1,-2,-1
1763470578.1877325,-1,-1,-1,-2,2,-1,-2,0
1763470578.2101927,-1,-1,0,-2,2,0,0,0
1763470578.2238963,-1,-3,-4,-3,0,0,-2,-2
1763470578.2328384,-2,-1,-2,-2,-1,-2,-2,0
1763470578.247663,2,1,2,0,0,0,-2,-1
1763470578.2702866,-1,0,1,-10,-4,-2,-2,-1
1763470578.284089,-2,-3,0,-9,-4,-1,0,0
1763470578.2930036,-2,0,-1,-3,1,-1,-2,-2
1763470578.3078916,-1,0,-2,0,1,-2,-1,-2
1763470578.3303852,0,-2,-1,1,3,-1,-2,-1
1763470578.3443701,-1,-2,-3,-5,-5,-1,0,-1
1763470578.3531997,-1,-1,0,-2,1,-2,0,-1
1763470578.3678665,-3,-1,-2,11,3,1,1,0
1763470578.3902578,-1,-1,-3,-1,1,-1,-1,0
1763470578.4038866,-1,-2,-1,3,1,-2,0,-2
1763470578.412854,-2,1,-2,-4,3,1,0,-1
1763470578.4271889,1,0,2,-2,-5,-1,1,2
1763470578.4339778,0,0,-1,-1,-2,-1,-2,0
1763470578.4502802,-1,2,2,-8,0,-2,-2,-1
1763470578.4637866,-1,-1,0,2,1,1,-2,-1
1763470578.480321,-3,-3,-2,0,-5,2,0,-2
1763470578.4876952,0,-2,-3,-4,-4,0,0,-1
1763470578.5104275,-1,-2,-1,-1,-5,-2,-2,0
1763470578.5239377,-2,-3,0,0,2,-3,-1,-2
1763470578.5329847,-2,-3,0,-2,-1,-2,-1,-1
1763470578.548652,0,0,-4,3,0,-1,-1,-2
1763470578.5777743,0,1,1,-3,-2,0,-1,-1
1763470578.5929034,-1,-1,-2,4,1,-1,0,-1
1763470578.6079948,1,-1,0,-1,0,-1,-1,1
1763470578.6302307,-2,-1,0,0,-2,-1,-1,-1
1763470578.6527328,-2,-2,1,0,2,2,0,0
1763470578.6682189,-1,-1,0,2,0,-4,-2,0
1763470578.6903014,-2,-1,-1,-5,-4,-3,-1,-4
1763470578.7127314,1,-2,0,2,-1,-3,-2,-1
1763470578.7270176,1,-1,-2,-3,-2,0,-2,0
1763470578.733795,-2,1,-2,4,0,-1,0,0
1763470578.7502885,-2,-2,-2,1,1,1,0,0
1763470578.7726781,0,-2,-1,-1,-3,0,-1,-2
1763470578.78701,0,-1,-1,-3,0,-1,-1,-1
1763470578.7938304,1,-1,1,5,5,-5,-1,-2
1763470578.8101208,-2,-2,1,7,0,3,0,0
1763470578.8327382,-1,0,-2,-5,-4,-3,-2,-1
1763470578.855463,-2,-1,-4,-1,1,-2,-1,-2
1763470578.8701596,-1,-2,-2,-1,3,2,0,0
1763470578.8926985,-2,0,-2,-4,-2,-3,0,-1
1763470578.906982,-1,-2,-2,0,0,-3,-3,-1
1763470578.9137828,-1,-1,0,-2,-4,-1,-2,0
1763470578.9302332,-1,-1,1,0,-4,-4,-2,0
1763470578.9527702,0,-1,-2,-8,0,0,1,-2
1763470578.9671452,-2,-2,-3,-1,-1,0,0,-1
1763470578.9739473,-1,-3,-1,-2,1,-2,-4,-1
1763470578.990477,-1,-1,0,-5,-4,-1,0,-2
1763470579.0127647,0,-1,-1,0,-3,-2,0,0
1763470579.0266535,2,-1,0,0,-7,2,-1,-1
1763470579.035522,-1,-1,0,-2,-1,0,-1,-1
1763470579.050255,-3,-2,-1,15,3,0,-1,-1
1763470579.0727007,-1,1,0,-2,0,-4,-2,-1
1763470579.0863643,-1,-1,0,2,10,0,-2,-1
1763470579.0954468,0,-1,1,2,4,0,-1,-2
1763470579.1111507,-1,-1,-1,-5,0,-2,0,-1
1763470579.132846,0,-2,-1,-6,-2,-1,-1,0
