Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764005279.5228746,-1,0,-2,-2,-2,-2,-2,-1,REST
1764005279.5375874,-1,0,-1,-2,0,-1,0,0,REST
1764005279.5602014,0,-2,-1,0,0,-1,-1,0,REST
1764005279.5826695,0,-2,-1,-2,-2,-1,-1,0,REST
1764005279.5976455,-1,0,-1,0,0,-2,0,-1,REST
1764005279.628117,-3,-3,-2,-1,-1,1,0,-1,REST
1764005279.6340268,1,-2,-1,0,-3,-2,0,0,REST
1764005279.6428955,-3,-2,-5,-3,-2,-1,0,-1,REST
1764005279.6580553,0,7,0,0,0,-2,-3,1,REST
1764005279.680302,-1,-6,-6,-1,-2,-1,0,-1,REST
1764005279.6942093,-2,0,-4,-2,-3,-1,-1,-1,REST
1764005279.7029934,0,1,1,-3,0,-1,-1,-2,REST
1764005279.7177866,-3,-13,-18,0,9,0,-4,-3,REST
1764005279.7402074,-3,-13,21,2,-4,-1,1,-1,REST
1764005279.7542794,3,10,24,3,-1,-1,-1,1,REST
1764005279.7631648,2,19,-29,-2,-2,0,1,0,REST
1764005279.777707,-1,-15,2,1,-3,-1,-2,-1,REST
1764005279.799989,3,16,-2,-2,0,-1,-1,2,REST
1764005279.8063762,-2,-6,-11,3,-2,-2,-1,-1,REST
1764005279.8229656,-1,3,4,-2,-3,-1,0,0,REST
1764005279.8452575,0,5,0,-2,-1,0,1,-1,REST
1764005279.8602607,0,13,-8,2,-2,-1,-1,0,REST
1764005279.8828938,-4,-26,-7,-5,-2,-1,0,-1,REST
1764005279.8973668,-3,-10,-10,11,2,-2,-1,-5,REST
1764005279.90497,-1,-1,-5,-2,0,0,-1,-1,REST
1764005279.920377,2,11,13,-2,-1,1,0,2,REST
1764005279.9427507,-3,-3,-4,-5,-2,-2,-1,-2,REST
1764005279.9570484,-7,-17,-24,-10,-1,-3,-1,-3,REST
1764005279.9637969,-2,-1,7,0,0,-1,-1,-1,REST
1764005279.9801757,1,10,2,1,0,-1,-2,1,REST
1764005280.0029304,-3,-1,1,-5,-2,-3,-2,-3,REST
1764005280.01712,-2,-8,-24,-9,-3,-1,-1,-1,REST
1764005280.0255992,-1,4,-2,1,0,-2,-1,0,REST
1764005280.0406168,-1,2,8,1,1,1,0,-1,REST
1764005280.0631046,0,1,-3,-1,-1,-1,-2,0,REST
1764005280.0772762,-2,-8,-2,-4,-3,0,-3,-1,REST
1764005280.0855243,-1,-6,-1,-3,-1,-3,0,-2,REST
1764005280.10027,2,3,5,1,0,0,-1,0,REST
1764005280.1227298,-1,-1,-1,2,-1,-2,-2,-1,REST
1764005280.1363838,-2,-3,-26,-5,-2,-1,-2,-1,REST
1764005280.1453311,-3,-9,-1,-4,-1,-2,-1,0,REST
1764005280.1601028,2,4,3,2,-1,0,1,-1,REST
1764005280.1826885,1,1,6,-2,-1,-2,-1,-2,REST
1764005280.1964226,-4,-2,0,-3,-2,-2,-2,-1,REST
1764005280.2053545,0,-2,-4,-1,-2,0,-3,-3,REST
1764005280.2202125,-1,1,5,1,0,-1,0,0,REST
1764005280.2420652,-3,0,2,-3,-1,-2,-1,-1,REST
1764005280.256423,0,0,2,0,0,0,-1,-1,REST
1764005280.2646692,-1,1,12,-3,-1,0,0,-1,REST
1764005280.3040473,-2,-9,-7,-3,-2,-2,-1,-2,REST
1764005280.3096638,-2,-2,-3,-1,-3,0,0,0,REST
1764005280.3252304,0,-1,1,0,-2,-1,0,0,REST
1764005280.347801,-5,-6,-5,-3,-3,-1,0,-2,REST
1764005280.3620749,1,-3,5,2,-2,-1,-1,1,REST
1764005280.3929474,-1,1,-3,-3,-2,-2,-2,-1,REST
1764005280.399621,0,-2,1,-2,-2,-1,0,-2,REST
1764005280.4220974,-1,-3,-2,-7,-23,-2,0,-1,REST
1764005280.4452772,-1,1,-1,0,3,-1,-1,-1,REST
1764005280.4600096,-1,8,3,-2,-5,-1,-2,-2,REST
1764005280.4821382,0,-5,1,2,6,-1,-1,-1,REST
1764005280.5046663,1,-2,-3,2,3,-1,-1,0,REST
1764005280.519485,0,1,-1,1,6,-2,-1,-2,REST
1764005280.5419617,-1,-1,0,-5,1,-1,-1,0,REST
1764005280.5647266,-1,-2,-1,0,-1,1,1,1,REST
1764005280.5795834,-1,-1,-2,2,0,0,-3,-1,REST
