CH_2,label
-1,0
-1,0
0,0
0,0
-2,0
-2,0
-2,0
0,0
-1,0
0,0
0,0
-2,0
-2,0
-1,0
-2,0
-1,0
-2,0
-2,0
-2,0
-2,0
0,0
-1,0
-2,0
-2,0
-1,0
-1,0
-2,0
0,0
-2,0
-2,0
-2,0
-2,0
0,0
-2,0
0,0
-2,0
1,0
0,0
-2,0
0,0
-2,0
-1,0
1,0
-2,0
0,0
-1,0
-2,0
-2,0
1,0
-1,0
-1,0
-1,0
-1,0
-3,0
-1,0
-1,0
-1,0
-1,0
0,0
0,0
-2,0
0,0
-2,0
-1,0
-1,0
1,0
0,0
0,0
-1,0
-3,0
-2,0
-2,0
-1,0
-2,0
1,0
-1,0
0,0
0,0
-2,0
-2,0
1,0
0,0
-3,0
-1,0
-2,0
-1,0
1,0
-2,0
0,0
-2,0
0,0
0,0
0,0
-2,0
-1,0
-3,0
-3,0
0,0
1,0
0,0
-2,0
0,0
-1,0
-2,0
-2,0
-2,0
-2,0
-1,0
-1,0
-2,0
-1,0
0,0
-1,0
-1,0
0,0
-2,0
0,0
0,0
0,0
-3,0
-3,0
1,0
1,0
0,0
-1,0
-1,0
-3,0
1,0
0,0
-1,0
1,0
0,0
-6,0
-3,0
1,0
-5,0
-8,0
-5,0
8,0
-16,0
-16,0
-18,0
-51,0
32,0
12,0
14,0
4,0
-3,0
-2,0
1,0
11,0
5,0
-2,0
0,0
-1,0
-8,0
-2,0
2,0
0,0
4,0
2,0
-9,0
-6,0
-8,0
-4,0
-15,0
20,0
-10,0
-11,0
-5,0
-5,0
5,0
6,0
-2,0
-8,0
-27,0
-2,0
1,0
-10,0
-1,0
-1,0
-10,0
21,0
8,0
-2,0
1,0
13,0
-17,0
10,0
-4,0
-19,0
9,0
0,0
2,0
-1,0
-5,0
-8,0
13,0
1,0
-20,0
-1,0
-11,0
-8,0
14,0
-37,0
16,0
5,0
-5,0
2,0
3,0
-9,0
5,0
-4,0
2,0
5,0
-14,0
-4,0
0,0
5,0
19,0
-1,0
-3,0
17,0
2,0
-2,0
-2,0
-9,0
-2,0
7,0
-4,0
0,0
-5,0
-9,0
7,0
5,0
-11,0
2,0
-6,0
9,0
-7,0
-7,0
6,0
-9,0
7,0
11,0
1,0
3,0
1,0
3,0
-15,0
-11,0
2,0
-7,0
14,0
0,0
6,0
-12,0
-8,0
-2,0
-8,0
18,0
-7,0
-22,0
-19,0
5,0
-8,0
-9,0
-2,0
4,0
6,0
-4,0
-1,0
7,0
-2,0
-17,0
5,0
5,0
6,0
-1,0
-9,0
2,0
10,0
-3,0
14,0
-8,0
-9,0
4,0
-4,0
0,0
12,0
6,0
-4,0
-5,0
-9,0
5,0
-5,0
-4,0
5,0
-1,0
11,0
-1,0
-1,0
-16,0
7,0
1,0
-6,0
0,0
4,0
5,0
-5,0
-10,0
-3,0
-6,0
-4,0
8,0
-3,0
2,0
3,0
4,0
-11,0
3,0
1,0
-5,0
9,0
0,0
-5,0
4,0
0,0
-14,0
-11,0
-6,0
2,0
8,0
-9,0
5,0
1,0
11,0
1,0
-4,0
-7,0
-3,0
5,0
4,0
3,0
-4,0
-12,0
6,0
-11,0
-1,0
3,0
-5,0
-40,0
-6,0
17,0
12,0
3,0
-3,0
9,0
8,0
-5,0
-5,0
2,0
-14,0
-2,0
7,0
9,0
-16,0
-1,0
0,0
1,0
12,0
-3,0
-5,0
0,0
0,0
12,0
-9,0
-4,0
-5,0
4,0
-5,0
-5,0
6,0
-17,0
19,0
-3,0
-11,0
-9,0
4,0
1,0
-9,0
4,0
1,0
11,0
-9,0
9,0
-8,0
4,0
5,0
2,0
-8,0
-9,0
-6,0
-1,0
0,0
-15,0
-9,0
9,0
-10,0
20,0
2,0
-2,0
-3,0
-10,0
-12,0
5,0
-4,0
8,0
4,0
-2,0
8,0
11,0
-7,0
4,0
2,0
-5,0
3,0
-11,0
8,0
9,0
-12,0
-20,0
14,0
-4,0
